iter	MultiClass
0	1.058452967
1	1.042098643
2	1.017446156
3	1.014606
4	0.9981174207
5	0.9894830409
6	0.9761095067
7	0.9687738259
8	0.9681307845
9	0.9677578762
10	0.9637975958
11	0.9586455691
12	0.9531580167
13	0.9464712913
14	0.9431770358
15	0.9387853136
16	0.9323542745
17	0.9293856088
18	0.9293531329
19	0.9201785776
20	0.9144535838
21	0.9090242325
22	0.9032977501
23	0.8997040846
24	0.8974432853
25	0.893894035
26	0.8913555276
27	0.8874421746
28	0.8838971785
29	0.8821506204
30	0.8778862676
31	0.8750487925
32	0.8726777295
33	0.869536888
34	0.8670970649
35	0.8638490671
36	0.8609219172
37	0.8587488858
38	0.8552291164
39	0.8522465596
40	0.8501965343
41	0.8468339639
42	0.8442123407
43	0.843029713
44	0.8407247998
45	0.83869921
46	0.8365095246
47	0.834107807
48	0.8328575844
49	0.8312153085
50	0.8293855688
51	0.8264348185
52	0.8238975773
53	0.8212466655
54	0.8176834881
55	0.8163488194
56	0.8151924278
57	0.8124153969
58	0.8103634867
59	0.8080180832
60	0.8057368144
61	0.8034205575
62	0.8011283818
63	0.799632098
64	0.7972229313
65	0.7966378965
66	0.7957784408
67	0.7936608525
68	0.7916809366
69	0.7894463813
70	0.7876287702
71	0.7863414651
72	0.7853177719
73	0.7831254959
74	0.7812133493
75	0.7808317946
76	0.7794986131
77	0.7782285797
78	0.7766277075
79	0.7749001109
80	0.7732650367
81	0.7717154007
82	0.7707760729
83	0.7684767807
84	0.7673697193
85	0.7657456882
86	0.7644059404
87	0.7637097116
88	0.7625428471
89	0.7614986176
90	0.7596269219
91	0.7591332831
92	0.7580257998
93	0.7571093377
94	0.7553712734
95	0.7549450816
96	0.7538714326
97	0.7522716675
98	0.751496528
99	0.7509036108
